eventname,outcome,type,compiledgametime,playsection,zone,manpowersituation,goal,teamid,playerid,opposingteamgoalieoniceid,xadjcoord,yadjcoord,shotAssist
pass,successful,south,0.73333335,southCenterNZ,nz,evenStrength,0,311,111452,80264,-2.316772461,9.808822632,0
reception,successful,regular,1.3333334,centerPointDZ,dz,evenStrength,0,311,80,80264,-26.45794678,6.791175842,0
pass,successful,stretchoffboards,2.5666666,westPointDZ,dz,evenStrength,0,311,80,80264,-30.48147583,30.93235207,0
reception,successful,regular,3.1666667,northEastBoardsNZ,nz,evenStrength,0,311,111452,80264,3.718521118,35.45882416,0
pass,successful,outlet,5.4333334,innerSlotDZ,dz,evenStrength,0,315,80264,5152,-81.17146301,3.770587921,0
reception,successful,regular,6.3333335,outsideNorthWestDZ,dz,evenStrength,0,315,79380,5152,-67.08911133,39.98235321,0
pass,successful,south,11.233334,southEastBoardsNZ,nz,evenStrength,0,315,10534,5152,-17.29793549,27.40882111,0
reception,successful,regular,14.333333,eastPointDZ,dz,evenStrength,0,315,400162,5152,-51.49793243,-32.9441185,0
pass,successful,d2doffboards,15.466666,outsideNorthEastDZ,dz,evenStrength,0,315,400162,5152,-77.65087128,-25.90294075,0
reception,successful,regular,16.666666,outsideNorthWestDZ,dz,evenStrength,0,315,79380,5152,-85.69792938,23.888237,0
pass,successful,outlet,17.966667,outsideNorthWestDZ,dz,evenStrength,0,315,79380,5152,-80.16558075,33.44411469,0
reception,successful,regular,19,southWestBoardsNZ,nz,evenStrength,0,315,81408,5152,-15.78910828,-36.46470642,0
pass,successful,north,24.233334,westPoint,oz,evenStrength,0,311,94531,80264,36.90477753,-39.47940826,0
reception,successful,regular,27.366667,outsideNorthEast,oz,evenStrength,0,311,109964,80264,98.26360321,5.785293579,0
pass,successful,south,29.566668,outsideNorthWest,oz,evenStrength,0,311,109964,80264,81.16360474,-36.96470642,0
reception,successful,regular,30.633333,westPoint,oz,evenStrength,0,311,94531,80264,27.85183716,-37.46764374,0
shot,failed,outsideblocked,30.733334,westPoint,oz,evenStrength,0,311,94531,80264,30.86948395,-36.96470642,1
pass,failed,d2doffboards,36.233334,outsideNorthWestDZ,dz,evenStrength,0,315,400162,5152,-96.754776,24.89411926,0
pass,successful,south,38.033333,outsideNorthWest,oz,evenStrength,0,311,370192,80264,96.75479889,-12.82349968,0
reception,successful,regular,38.4,outsideNorthWest,oz,evenStrength,0,311,109964,80264,77.643013,-15.33823395,0
shot,successful,outside,38.633335,outsideNorthWest,oz,evenStrength,1,311,109964,80264,80.15772247,-13.32646942,1
pass,failed,outlet,48.433334,outsideNorthWestDZ,dz,evenStrength,0,311,237838,80264,-92.35110474,25.39999962,0
pass,successful,north,50.033333,westPoint,oz,evenStrength,0,315,20775372,5152,50.60697937,-36.96764755,0
reception,successful,regular,50.5,outsideNorthWest,oz,evenStrength,0,315,126723,5152,73.74227905,-39.48235321,0
pass,successful,outletoffboards,54.366665,outsideNorthWestDZ,dz,evenStrength,0,311,6588,80264,-84.30404663,36.46470642,0
reception,successful,regular,54.966667,outsideNorthWestDZ,dz,evenStrength,0,311,111452,80264,-65.69522095,40.48823547,0
pass,successful,outletoffboards,56.266666,outsideNorthWestDZ,dz,evenStrength,0,311,111452,80264,-65.69522095,39.98529434,0
reception,successful,regular,56.866665,westPointDZ,dz,evenStrength,0,311,237838,80264,-52.6187439,35.96176529,0
pass,failed,northoffboards,58.233334,southEastBoardsNZ,nz,evenStrength,0,311,237838,80264,-24.45404053,26.90882301,0
pass,failed,north,59.766666,southWestBoardsNZ,nz,evenStrength,0,315,20775372,5152,-8.237129211,-40.99117661,0
pass,successful,d2d,67.333336,outsideNorthWestDZ,dz,evenStrength,0,311,446706,80264,-94.86581421,29.42353058,0
reception,successful,regular,68.5,outsideNorthEastDZ,dz,evenStrength,0,311,108339,80264,-95.3687439,-20.36764526,0
pass,failed,slot,76.46667,outsideNorthWest,oz,evenStrength,0,315,56711,5152,81.27850342,-35.96179962,0
shot,failed,outside,79.433334,outsideNorthEast,oz,evenStrength,0,315,884,5152,81.27853394,22.37940979,0
pass,failed,north,82.2,westPoint,oz,evenStrength,0,315,56711,5152,40.03739929,-38.47650146,0
pass,failed,northoffboards,85.73333,outsideNorthWest,oz,evenStrength,0,315,179172,5152,93.85206604,-28.92058754,0
pass,failed,d2doffboards,87.36667,outsideNorthWestDZ,dz,evenStrength,0,311,446706,80264,-98.38639832,2.264705658,0
pass,successful,outlet,90.9,outsideNorthWestDZ,dz,evenStrength,0,311,108339,80264,-87.32168579,32.44117737,0
reception,successful,regular,91.4,outsideNorthWestDZ,dz,evenStrength,0,311,110409,80264,-62.17463684,29.42353058,0
pass,failed,outlet,92.36667,outsideNorthWestDZ,dz,evenStrength,0,311,110409,80264,-60.665802,31.4352932,0
pass,failed,north,93.13333,westPoint,oz,evenStrength,0,315,179172,5152,44.06090164,-29.42350006,0
pass,successful,eastwest,98.333336,southWestBoardsNZ,nz,evenStrength,0,315,56711,5152,-14.78322601,-37.97352982,0
reception,successful,regular,99.26667,northCenterNZ,nz,evenStrength,0,315,54915,5152,15.39324188,14.83529282,0
pass,successful,south,99.76667,northCenterNZ,nz,evenStrength,0,315,54915,5152,9.357948303,9.8058815,0
reception,successful,regular,100.566666,northCenterNZ,nz,evenStrength,0,315,179172,5152,4.328536987,15.33823395,0
pass,successful,outlet,105.86667,outsideNorthEastDZ,dz,evenStrength,0,311,108339,80264,-95.3687439,-12.82352829,0
reception,successful,regular,107.2,outsideNorthEastDZ,dz,evenStrength,0,311,113401,80264,-55.13345337,-38.473526,0
pass,successful,outlet,108.53333,eastPointDZ,dz,evenStrength,0,311,113401,80264,-26.96875,-14.83529282,0
reception,successful,regular,109.1,southCenterNZ,nz,evenStrength,0,311,1462,80264,-17.91580963,-8.799999237,0
shot,successful,outside,111.13333,centerPoint,oz,evenStrength,0,311,1462,80264,39.92242813,-10.30882263,1
pass,successful,slot,115.96667,outsideNorthWest,oz,evenStrength,0,311,109964,80264,94.75086975,-16.34411621,0
reception,successful,regular,116.63333,innerSlot,oz,evenStrength,0,311,112050,80264,82.68028259,-5.782352448,0
pass,successful,outlet,129.83333,westPointDZ,dz,evenStrength,0,311,6588,80264,-38.02560425,31.4352932,0
reception,successful,regular,130.4,southCenterNZ,nz,evenStrength,0,311,109964,80264,-1.310890198,3.773529053,0
shot,successful,outside,131.7,northCenterNZ,oz,evenStrength,0,311,109964,80264,20.31558228,13.83235359,1
pass,successful,northoffboards,141.96666,outsideNorthEast,oz,evenStrength,0,315,81408,5152,95.86383057,20.87059021,0
reception,successful,regular,144,outsideNorthWest,oz,evenStrength,0,315,10534,5152,92.34324646,-29.92647171,0
pass,successful,south,144.16667,outsideNorthWest,oz,evenStrength,0,315,10534,5152,91.33735657,-31.93823624,0
reception,successful,regular,145.2,westPoint,oz,evenStrength,0,315,20775372,5152,28.4697113,-37.97352982,0
shot,failed,outsideblocked,146.36667,westPoint,oz,evenStrength,0,315,20775372,5152,29.97854614,-35.96176529,1
pass,successful,northoffboards,149.46666,outsideNorthEast,oz,evenStrength,0,315,10534,5152,79.26676941,26.40293884,0
reception,successful,regular,151.36667,outsideNorthEast,oz,evenStrength,0,315,10534,5152,93.85206604,18.85882187,0
pass,failed,south,151.66667,outsideNorthEast,oz,evenStrength,0,315,10534,5152,93.34912109,19.86470795,0
pass,successful,d2d,152.43333,outsideNorthEastDZ,dz,evenStrength,0,311,237838,80264,-83.29029846,-18.35588074,0
reception,successful,regular,153.33333,innerSlotDZ,dz,evenStrength,0,311,80,80264,-67.6991272,3.270587921,0
pass,successful,outlet,154.1,westOuterSlotDZ,dz,evenStrength,0,311,80,80264,-54.62265015,4.779411316,0
reception,successful,regular,154.96666,southWestBoardsNZ,nz,evenStrength,0,311,1731661,80264,-18.41088867,-40.48529053,0
pass,successful,d2d,159.36667,outsideNorthWestDZ,dz,evenStrength,0,311,80,80264,-77.75794983,26.90882301,0
reception,successful,regular,160.7,outsideNorthEastDZ,dz,evenStrength,0,311,80,80264,-93.85206604,-7.794116974,0
pass,successful,outletoffboards,161.26666,outsideNorthEastDZ,dz,evenStrength,0,311,80,80264,-94.35501099,-15.33823395,0
reception,successful,regular,162.2,eastPointDZ,dz,evenStrength,0,311,1731661,80264,-31.48736572,-40.98823547,0
